iso3,country,year,homicide_rate,gini,gdppc,pop,democracy,gini_interp,log_homicide,log_gdppc,gini_c,democracy_c,gini_x_dem
DNK,Denmark,2011,0.466715217016293,27.3,287817703286.122,5570572,9.52,27.3,-0.7408359957027131,26.38559314196833,-8.773478421246768,2.9568203198494825,-25.9415992717034
DNK,Denmark,2011,0,27.3,287817703286.122,5570572,9.52,27.3,-4.605170185988091,26.38559314196833,-8.773478421246768,2.9568203198494825,-25.9415992717034
DNK,Denmark,2012,0.840498959524879,27.8,287802068160.374,5591572,9.52,27.8,-0.1619320905157179,26.38553881747662,-8.273478421246768,2.9568203198494825,-24.46318911177866
DNK,Denmark,2012,0.608020523911614,27.8,287802068160.374,5591572,9.52,27.8,-0.48123361186292557,26.38553881747662,-8.273478421246768,2.9568203198494825,-24.46318911177866
DNK,Denmark,2012,0,27.8,287802068160.374,5591572,9.52,27.8,-4.605170185988091,26.38553881747662,-8.273478421246768,2.9568203198494825,-24.46318911177866
DNK,Denmark,2013,0.854802453817294,28.5,291810211099.295,5614932,9.38,28.5,-0.1452541752221099,26.399369465909114,-7.573478421246769,2.8168203198494837,-21.333127908909486
DNK,Denmark,2013,0.427401226908647,28.5,291810211099.295,5614932,9.38,28.5,-0.8269043657396381,26.399369465909114,-7.573478421246769,2.8168203198494837,-21.333127908909486
DNK,Denmark,2013,0,28.5,291810211099.295,5614932,9.38,28.5,-4.605170185988091,26.399369465909114,-7.573478421246769,2.8168203198494837,-21.333127908909486
DNK,Denmark,2014,1.31117471686599,28.4,295539545106.694,5643475,9.11,28.4,0.27852127785880243,26.412068489227014,-7.67347842124677,2.5468203198494823,-19.5429707671578
DNK,Denmark,2014,0.389808699608809,28.4,295539545106.694,5643475,9.11,28.4,-0.9167690972506072,26.412068489227014,-7.67347842124677,2.5468203198494823,-19.5429707671578
DNK,Denmark,2014,0,28.4,295539545106.694,5643475,9.11,28.4,-4.605170185988091,26.412068489227014,-7.67347842124677,2.5468203198494823,-19.5429707671578
DNK,Denmark,2015,1.09083852229384,28.2,301758922337.637,5683483,9.11,28.2,0.09607218240098955,26.43289426512862,-7.8734784212467694,2.5468203198494823,-20.052334831127695
DNK,Denmark,2015,0.563013430861335,28.2,301758922337.637,5683483,9.11,28.2,-0.5568461229935217,26.43289426512862,-7.8734784212467694,2.5468203198494823,-20.052334831127695
DNK,Denmark,2015,0,28.2,301758922337.637,5683483,9.11,28.2,-4.605170185988091,26.43289426512862,-7.8734784212467694,2.5468203198494823,-20.052334831127695
DNK,Denmark,2016,0.977619325858153,28.2,311032111297.516,5728010,9.2,28.2,-0.012457953194925488,26.46316199555605,-7.8734784212467694,2.636820319849482,-20.7609478890399
DNK,Denmark,2016,0.349149759235055,28.2,311032111297.516,5728010,9.2,28.2,-1.0240158208358934,26.46316199555605,-7.8734784212467694,2.636820319849482,-20.7609478890399
DNK,Denmark,2016,0,28.2,311032111297.516,5728010,9.2,28.2,-4.605170185988091,26.46316199555605,-7.8734784212467694,2.636820319849482,-20.7609478890399
DNK,Denmark,2017,1.23153392928012,28.7,320538736986.013,5764980,9.22,28.7,0.21634765485573168,26.493268970234574,-7.3734784212467694,2.6568203198494835,-19.590007297540108
DNK,Denmark,2017,0.572403093890759,28.7,320538736986.013,5764980,9.22,28.7,-0.5405924698013415,26.493268970234574,-7.3734784212467694,2.6568203198494835,-19.590007297540108
DNK,Denmark,2018,1.00106587626187,28.2,326500781502.599,5793636,9.22,28.2,0.01100509742283575,26.511698179236138,-7.8734784212467694,2.6568203198494835,-20.918417457464848
